GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProjectManagementApp,com.hcl.exceptions,UsernameAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
ProjectManagementApp,com.hcl.exceptions,ProjectNotFoundException,4,0,0,0,2,0,1,0,1,0
ProjectManagementApp,com.hcl.exceptions,UsernameAlreadyExistsResponse,86,0,14,0,3,0,14,0,7,0
ProjectManagementApp,com.hcl.exceptions,ProjectNotFoundExceptionResponse,86,0,14,0,3,0,14,0,7,0
ProjectManagementApp,com.hcl.exceptions,ProjectIdException,4,0,0,0,2,0,1,0,1,0
ProjectManagementApp,com.hcl.exceptions,ProjectIdExceptionResponse,86,0,14,0,3,0,14,0,7,0
ProjectManagementApp,com.hcl.exceptions,CustomResponseEntityExceptionHandler,36,3,0,0,6,1,3,1,3,1
ProjectManagementApp,com.hcl.exceptions,InvalidLoginResponse,132,0,22,0,7,0,20,0,9,0
ProjectManagementApp,com.hcl.validator,UserValidator,29,3,4,0,7,1,4,1,2,1
ProjectManagementApp,com.hcl.domain,User,384,27,70,0,15,4,57,6,22,6
ProjectManagementApp,com.hcl.domain,Project,522,3,94,0,18,1,75,1,28,1
ProjectManagementApp,com.hcl.domain,ProjectTask,522,3,94,0,17,1,75,1,28,1
ProjectManagementApp,com.hcl.domain,Backlog,252,12,46,0,7,3,37,1,14,1
ProjectManagementApp,com.hcl,ProjectManagementAppApplication,5,7,0,0,2,2,1,2,1,2
ProjectManagementApp,com.hcl.swagger,SwaggerConfig,0,31,0,0,0,11,0,3,0,3
ProjectManagementApp,com.hcl.web,BacklogController,90,3,4,0,13,1,7,1,5,1
ProjectManagementApp,com.hcl.web,ProjectController,62,3,2,0,9,1,5,1,4,1
ProjectManagementApp,com.hcl.web,UserController,67,3,4,0,13,1,4,1,2,1
ProjectManagementApp,com.hcl.services,CustomUserDetailsService,28,3,4,0,6,1,4,1,2,1
ProjectManagementApp,com.hcl.services,ProjectTaskService,158,3,12,0,27,1,11,1,5,1
ProjectManagementApp,com.hcl.services,MapErrorValidationService,34,3,4,0,6,1,3,1,1,1
ProjectManagementApp,com.hcl.services,UserService,36,7,0,0,6,2,1,2,1,2
ProjectManagementApp,com.hcl.services,ProjectService,152,3,14,0,29,1,11,1,4,1
ProjectManagementApp,com.hcl.payload,JWTLoginSuccessResponse,119,0,18,0,4,0,18,0,9,0
ProjectManagementApp,com.hcl.payload,LoginRequest,126,0,22,0,3,0,20,0,9,0
ProjectManagementApp,com.hcl.security,JwtAuthenticationFilter,70,3,8,0,17,1,6,1,2,1
ProjectManagementApp,com.hcl.security,SecurityConstants,3,0,0,0,1,0,1,0,1,0
ProjectManagementApp,com.hcl.security,JwtAuthenticationEntryPoint,21,3,0,0,6,1,1,1,1,1
ProjectManagementApp,com.hcl.security,JwtTokenProvider,111,3,0,0,32,1,3,1,3,1
ProjectManagementApp,com.hcl.security,SecurityConfig,0,113,0,0,0,19,0,5,0,5
